dataset,rows,cols,nnz,cusparse_kernel_ms,cusparse_e2e_ms,cusparse_gflops,preprocess_adj_ms,preprocess_iter_ms,preprocess_max_ms,mp_adj_ms,mp_adj_gflops,mp_iter_ms,mp_iter_gflops,mp_max_ms,mp_max_gflops,mp_best_strategy,mp_best_ms,mp_best_gflops,mp_e2e_ms,speedup_kernel
144,144649,144649,2148786,1.07649,37.10394,511.002,228.023,222.363,1287.92,0.29862,12910.609315,0.30200,12559.121067,0.30173,12557.279809,adj,0.29862,12910.609315,228.32162,3.605
gupta1,31802,31802,2132408,0.37865,10.61832,1441.673,111.861,299.468,24218.1,1.25749,1591.166310,1.11831,1557.806070,1.08610,1592.246202,max,1.08610,1592.246202,24219.18610,0.349
12month1,12471,872622,22624727,10.97736,125.32831,527.625,2408.74,26854.2,NA,21.79594,2403.856972,13.95710,2879.121448,NA,NA,iter,13.95710,2879.121448,26868.15710,0.787
208bit,24430,24421,299756,0.08415,4.85396,911.895,29.556,30.819,169.979,0.04350,11502.070979,0.04362,11384.789156,0.04364,11379.446652,adj,0.04350,11502.070979,29.59950,1.934
2D_27628_bjtcai,27628,27628,442898,0.09505,6.52186,1192.847,15.698,15.224,54.454,0.05349,6039.816005,0.04506,6020.363669,0.04397,6093.623464,max,0.04397,6093.623464,54.49797,2.162
2D_54019_highK,54019,54019,996414,0.17014,13.73974,1499.224,36.812,35.282,158.6,0.31042,2234.954123,0.26114,2162.026507,0.26298,2127.186319,iter,0.26114,2162.026507,35.54314,0.652
3D_28984_Tetra,28984,28984,599170,0.11874,5.51606,1291.760,22.717,24.61,3319.06,0.88330,546.478100,0.61256,674.022065,0.60246,669.055292,max,0.60246,669.055292,3319.66246,0.197
3Dspectralwave,680943,680943,32969646,7.64127,224.55447,1104.558,1895.75,1917.48,NA,2.03067,17939.931287,1.87726,18097.456403,NA,NA,iter,1.87726,18097.456403,1919.35726,4.070
3dtube,45330,45330,3168288,0.30198,12.59595,2685.900,100.473,78.742,NA,0.38676,4406.460229,0.38103,3154.936945,NA,NA,iter,0.38103,3154.936945,79.12303,0.793
598a,110971,110971,1483868,0.84326,20.69838,450.479,173.019,182.944,NA,0.24183,12289.024834,0.24678,11886.074670,NA,NA,adj,0.24183,12289.024834,173.26083,3.487
